,ID,Age,Education,Years_Education,Marital_Status,Income,Kidhome,Teenhome,NumChildrenhome,Haskids,Dt_Customer,Year_Customer,Recency,MntDairy,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGold,Spendings,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response
0,5524,65,Graduation,13,Alone,20987.0,0,0,0,0,2012-09-04,2012,58,635,88,546,172,88,88,1529,3,8,10,4,7,0,0,0,0,0,1
1,2174,68,Graduation,13,Alone,25254.0,1,1,2,1,2014-03-08,2014,38,151,1,6,2,1,6,161,2,1,1,2,5,0,0,0,0,0,0
2,4141,57,Graduation,13,Together,16151.0,0,0,0,0,2013-08-21,2013,26,426,49,127,111,21,42,734,1,8,2,10,4,0,0,0,0,0,0
3,6182,38,Graduation,13,Together,15813.0,1,0,1,1,2014-02-10,2014,26,156,4,20,10,3,5,193,2,2,0,4,6,0,0,0,0,0,0
4,5324,41,PhD,21,Married,58293.0,1,0,1,1,2014-01-19,2014,94,173,43,118,46,27,15,407,5,5,3,6,5,0,0,0,0,0,0
5,7446,55,Master,18,Together,40576.0,0,1,1,1,2013-09-09,2013,16,520,42,98,0,42,14,702,2,6,4,10,6,0,0,0,0,0,0
6,965,51,Graduation,13,Alone,19079.0,0,1,1,1,2012-11-13,2012,34,435,65,164,50,49,27,763,4,7,3,7,6,0,0,0,0,0,0
7,6177,37,PhD,21,Married,33454.0,1,0,1,1,2013-05-08,2013,32,406,10,56,3,1,23,476,2,4,0,4,8,0,0,0,0,0,0
8,4855,48,PhD,21,Together,30351.0,1,0,1,1,2013-06-06,2013,19,115,0,24,3,3,2,145,1,3,0,2,9,0,0,0,0,0,1
9,5899,72,PhD,21,Together,5648.0,1,1,2,1,2014-03-13,2014,68,131,0,6,1,1,13,139,1,1,0,0,20,1,0,0,0,0,0
10,1994,39,Graduation,13,Married,17397.199999999997,1,0,1,1,2013-11-15,2013,11,108,5,6,0,2,1,121,1,1,0,2,7,0,0,0,0,0,0
11,387,46,Basic,6,Married,7500.0,0,0,0,0,2012-11-13,2012,59,142,16,11,11,1,16,181,1,2,0,3,8,0,0,0,0,0,0
